Ticker,Quantidade,Setor,Data de atualização,Valor Atual,PAYOUT,LPA,VPA,P/L,P/VP,P/SR,ROE,ROA,EBITDA,Margem bruta,Margem líquida,Margem EBITDA,Margem operacional,P/CF,Liquidez corrente,Liquidez imediata,Liquidez seca,Giro do ativo,Endividamento geral,Ativo por ação,Dívida bruta,Dívida líquida,Capital de giro,Receita líquida por ação,EBIT por ação,Margem EBIT
MULT3,,,2025-04-25 18:08:42,25.5,43.40%,2.61,11.0,9.63,2.29,,23.75,0.11,1.848,83.36,52.7,72.62,59.61,,1.43,0.03,1.33,0.2,121.61,24.38,5.43,4.239,657.0,4.96,3.33,67.18
MYPK3,,,2025-04-25 18:08:52,12.630000114440918,34.23%,1.72,29.65,7.29,0.42,,7.5,0.02,1.524,11.88,2.48,9.94,3.82,,1.72,0.57,1.15,0.96,214.76,103.83,6.388,3.925,3.084,99.74,6.64,6.66
NATU3,,,2025-04-25 18:09:06,,0,,,,,,,,,,,,,,,,,,,,,,,,,
ODPV3,,,2025-04-25 18:09:19,10.680000305175781,104.73%,0.98,2.22,11.17,4.91,,43.9,0.25,737.0,34.33,23.63,32.31,33.46,,0.64,0.02,0.64,1.07,72.77,3.84,,,275.0,4.13,1.24,30.13
OSXB3,,,2025-04-25 18:09:30,2.9800000190734863,0.00%,504.53,,0.01,0.0,,18.93,1.14,966.0,100.0,,,,,0.01,0.0,0.01,0.05,116.57,442.26,6.721,6.72,948.0,20.46,310.95,
PCAR4,,,2025-04-25 18:09:44,,0,,,,,,,,,,,,,,,,,,,,,,,,,
PDGR3,,,2025-04-25 18:09:56,0.6899999976158142,0.00%,30.84,233.92,0.02,0.0,,12.89,0.8,153.0,2.53,358.34,127.42,408.43,,0.32,0.02,0.16,0.22,116.04,38.33,205.0,176.0,693.0,8.6,11.0,127.88
PETR3,,,2025-04-25 18:10:06,32.66999816894531,201.32%,2.84,28.4,11.45,1.14,,10.07,0.03,204.234,50.21,7.54,41.61,11.15,,0.69,0.1,0.48,0.44,206.06,87.27,373.467,326.816,59.596,38.08,10.64,27.95
PETR4,,,2025-04-25 18:10:19,30.520000457763672,201.32%,2.84,28.4,10.71,1.07,,10.07,0.03,204.234,50.21,7.54,41.61,11.15,,0.69,0.1,0.48,0.44,206.06,87.27,373.467,326.816,59.596,38.08,10.64,27.95
PFRM3,,,2025-04-25 18:10:31,7.849999904632568,90.47%,0.93,10.52,8.32,0.73,,7.74,0.02,358.0,15.0,1.21,3.53,1.26,,1.34,0.08,0.74,1.81,254.15,45.36,799.0,570.0,1.03,82.01,2.42,2.95
PINE4,,,2025-04-25 18:10:44,4.510000228881836,61.02%,1.12,5.34,3.94,0.83,,21.04,0.01,,20.13,10.23,,13.06,,1.1,,,0.09,,121.14,,,1.241,10.99,,
PLAS3,,,2025-04-25 18:10:55,,0.00%,8.85,41.79,0.73,0.16,,21.18,0.17,,14.85,9.72,,11.86,,0.48,0.07,0.3,1.71,227.65,53.35,318.0,282.0,260.0,91.09,1.38,1.52
PMAM3,,,2025-04-25 18:11:09,2.200000047683716,0.00%,28.35,83.34,0.07,0.02,,34.02,1.31,353.0,35.57,464.99,76.69,468.17,,0.06,0.0,0.02,0.28,125.89,21.57,5.217,5.174,5.864,6.1,5.83,95.53
POMO3,,,2025-04-25 18:11:21,5.289999961853027,50.63%,1.06,3.54,4.9,1.46,,29.94,0.13,1.625,24.8,14.22,18.91,17.11,,1.84,0.68,1.24,0.91,131.28,8.31,3.255,1.157,2.58,7.56,1.28,16.96
POMO4,,,2025-04-25 18:11:32,6.829999923706055,50.63%,1.06,3.54,6.36,1.9,,29.94,0.13,1.625,24.8,14.22,18.91,17.11,,1.84,0.68,1.24,0.91,131.28,8.31,3.255,1.157,2.58,7.56,1.28,16.96
POSI3,,,2025-04-25 18:11:42,5.940000057220459,72.87%,0.57,11.54,10.55,0.52,,5.17,0.02,366.0,25.05,2.31,9.95,2.77,,1.97,0.38,1.25,0.83,171.36,31.5,1.282,715.0,1.464,26.01,2.18,8.39
PSSA3,,,2025-04-25 18:11:54,42.38999938964844,35.54%,4.09,21.73,10.23,1.93,,19.02,0.06,,100.0,7.63,,11.19,,1.15,0.1,1.15,0.74,238.72,74.1,,,3.413,54.51,4.79,8.79
PTBL3,,,2025-04-25 18:12:07,4.349999904632568,0.00%,0.72,2.63,5.86,1.61,,27.49,0.03,313.0,35.94,4.24,13.02,4.55,,0.75,0.06,0.34,0.72,801.81,23.74,1.163,1.084,343.0,17.08,0.92,5.4
PTNT4,,,2025-04-25 18:12:18,6.070000171661377,41.54%,0.65,9.31,9.67,0.68,,8.35,0.04,79.0,15.14,5.71,9.92,5.26,,3.02,0.31,2.2,0.73,99.95,22.77,426.0,132.0,411.0,16.64,0.92,5.5
ENAT3,,,2025-04-25 18:12:35,,0,,,,,,12.53,0.04,,24.54,25.34,,39.02,,3.9,0.59,3.88,0.17,183.03,,5.958,584.0,4.41,,,56.1
QUAL3,,,2025-04-25 18:12:46,2.2300000190734863,0.00%,0.02,4.51,96.27,0.49,,1.16,0.0,585.0,83.15,0.95,37.02,0.08,,1.1,0.21,1.1,0.36,235.47,15.37,1.881,988.0,154.0,5.56,0.65,11.73
RAPT3,,,2025-04-25 18:12:57,8.300000190734863,29.23%,1.24,9.81,6.8,0.86,,15.34,0.04,1.622,26.72,5.8,13.62,8.49,,1.91,0.48,1.36,0.77,242.47,46.88,6.732,4.466,4.251,36.18,3.89,10.74
RAPT4,,,2025-04-25 18:13:07,9.210000038146973,29.23%,1.24,9.81,7.26,0.92,,15.34,0.04,1.622,26.72,5.8,13.62,8.49,,1.91,0.48,1.36,0.77,242.47,46.88,6.732,4.466,4.251,36.18,3.89,10.74
RDNI3,,,2025-04-25 18:13:17,2.680000066757202,0.00%,3.24,6.13,0.89,0.47,,46.89,0.08,44.0,15.49,25.25,8.02,22.25,,1.62,0.1,1.04,0.34,453.71,36.87,581.0,540.0,250.0,12.37,1.14,9.26
RENT3,,,2025-04-25 18:13:30,42.810001373291016,93.57%,1.68,24.32,24.83,1.71,,6.88,0.02,11.914,23.48,4.87,31.97,5.01,,1.17,0.2,1.17,0.43,231.19,80.59,44.766,33.34,3.068,34.43,5.36,15.58
FRTA3,,,2025-04-25 18:13:45,,0,,,,,,7.17,0.18,2.0,16.57,72.29,13.6,75.06,,0.03,0.0,0.01,0.25,140.37,,67.0,67.0,97.0,,,16.43
RNEW11,,,2025-04-25 18:13:57,2.5399999618530273,--,0.47,3.27,5.52,0.79,,14.35,0.04,122.0,11.91,45.16,47.1,48.94,,0.79,0.4,0.79,0.08,275.19,12.27,1.144,994.0,75.0,1.04,0.07,6.49
ROMI3,,,2025-04-25 18:14:06,9.170000076293945,76.32%,1.14,13.07,8.04,0.7,,8.78,0.04,164.0,28.12,8.34,12.78,8.72,,2.12,0.34,1.09,0.52,103.39,26.62,794.0,499.0,798.0,13.79,1.08,7.85
RSID3,,,2025-04-25 18:14:17,2.190000057220459,0.00%,13.81,48.6,0.16,0.05,,28.47,0.55,263.0,28.74,328.46,311.72,725.39,,0.45,0.0,0.15,0.17,151.71,25.16,379.0,351.0,308.0,4.22,13.15,311.91
SANB11,,,2025-04-25 18:14:26,27.8799991607666,--,1.78,15.94,15.75,1.76,,11.19,0.01,,41.32,9.78,,13.99,,,,,0.11,,165.21,,,,18.29,,
SBSP3,,,2025-04-25 18:14:36,115.37999725341797,10.27%,14.02,54.03,8.2,2.13,,25.94,0.12,18.187,54.07,26.5,50.32,37.74,,0.89,0.14,0.89,0.45,119.25,118.46,25.258,19.875,1.364,52.88,22.69,42.91
SCAR3,,,2025-04-25 18:14:46,17.729999542236328,41.07%,5.07,26.74,3.46,0.66,,18.84,0.1,145.0,36.03,57.53,28.55,61.73,,3.02,0.03,3.02,0.18,84.95,49.77,1.162,886.0,536.0,8.81,1.57,17.78
SGPS3,,,2025-04-25 18:14:57,,0.00%,77.81,16.55,0.02,0.1,,470.13,0.3,296.0,2.36,77.23,29.32,74.83,,0.45,0.1,0.26,0.39,,255.37,1.064,877.0,925.0,100.75,39.31,39.02
SHOW3,,,2025-04-25 18:15:08,0.6700000166893005,0.00%,1.03,1.98,0.69,0.36,,49.68,0.17,24.0,12.73,41.19,14.04,36.22,,1.19,0.56,1.19,0.4,198.84,6.09,89.0,25.0,38.0,2.46,0.43,17.4
SLCE3,,,2025-04-25 18:15:18,20.010000228881836,71.74%,1.15,9.02,17.51,2.23,,11.74,0.03,1.799,29.57,6.17,23.06,6.59,,1.37,0.32,0.75,0.44,328.17,39.64,5.598,3.618,2.244,17.6,3.41,19.39
SLED4,,,2025-04-25 18:15:31,,0,7.15,39.57,0.22,0.04,,18.07,1.07,67.0,47.85,92.72,91.26,63.56,,0.12,0.0,0.05,1.15,116.88,6.68,35.0,35.0,156.0,7.71,5.7,73.94
SMTO3,,,2025-04-25 18:15:44,20.100000381469727,42.66%,3.25,19.6,6.35,1.05,,16.56,0.05,3.602,23.59,13.75,45.91,16.54,,2.27,0.4,1.68,0.35,242.47,67.13,11.317,8.071,4.241,23.6,6.97,29.54
SULA11,,,2025-04-25 18:16:00,,0,,,,,,,,,,,,,,,,,,,,,,,,,
EGIE3,,,2025-04-25 18:16:11,40.2599983215332,27.64%,5.24,13.81,7.74,2.94,,35.04,0.09,8.754,54.43,38.35,78.03,50.86,,0.99,0.54,0.99,0.22,308.07,61.42,23.647,19.688,75.0,13.75,9.42,68.48
TCSA3,,,2025-04-25 18:16:22,1.3700000047683716,0.00%,2.02,5.19,0.69,0.27,,39.15,0.11,,8.14,32.1,,29.41,,1.34,0.32,1.02,0.35,247.09,18.19,678.0,516.0,139.0,6.39,1.46,22.83
TECN3,,,2025-04-25 18:16:33,6.110000133514404,16.25%,1.02,6.48,6.0,0.95,,15.8,0.09,,54.67,16.2,,21.26,,2.9,0.7,2.06,0.55,76.53,11.44,107.0,13.0,324.0,6.32,1.05,16.68
TEKA4,,,2025-04-25 18:16:45,,0.00%,339.62,,0.06,0.0,,7.76,0.14,11.0,24.58,52.8,3.13,53.17,,0.05,0.0,0.03,0.26,155.7,,613.0,613.0,2.696,643.27,28.82,4.48
TGMA3,,,2025-04-25 18:16:56,36.310001373291016,66.26%,4.09,13.96,8.77,2.57,,29.37,0.2,394.0,21.58,12.95,18.89,18.06,,2.71,0.92,2.71,1.57,44.28,20.14,177.0,65.0,449.0,31.67,5.59,17.64
TIMP3,,,2025-04-25 18:17:09,,0,,,,,,,,,,,,,,,,,,,,,,,,,
TOTS3,,,2025-04-25 18:17:19,37.52000045776367,37.88%,1.2,7.81,30.88,4.73,,14.75,0.09,1.203,69.48,14.08,23.04,15.85,,2.42,1.7,2.42,0.61,71.08,14.23,1.661,281.0,1.619,8.72,1.46,16.79
TPIS3,,,2025-04-25 18:17:30,4.5,0.00%,0.81,20.98,5.37,0.21,,2.01,0.01,,34.33,1.38,,4.46,,0.21,0.05,0.21,0.48,204.45,62.89,1.428,1.374,886.0,30.06,1.34,4.46
TRIS3,,,2025-04-25 18:17:40,7.019999980926514,20.70%,0.92,7.82,7.65,0.9,,11.75,0.06,203.0,27.83,12.98,15.13,15.56,,4.74,0.94,2.66,0.44,104.47,16.3,821.0,351.0,1.788,7.22,1.07,14.87
TAEE11,,,2025-04-25 18:17:51,35.970001220703125,0.00%,1.64,6.71,22.03,5.38,,24.41,0.08,2.888,66.49,45.56,77.68,50.09,,1.23,0.3,1.23,0.18,194.42,19.77,9.799,9.048,559.0,3.6,2.77,77.01
TRPL4,,,2025-04-25 18:18:07,,0,,,,,,,,,,,,,,,,,,,,,,,,,
TRPN3,,,2025-04-25 18:18:24,,0,,,,,,,,,,,,,,,,,,,,,,,,,
UGPA3,,,2025-04-25 18:18:33,18.010000228881836,30.75%,2.12,13.59,8.41,1.31,,15.96,0.06,5.844,7.26,1.89,4.38,3.0,,1.53,0.2,1.16,3.37,150.0,35.46,15.787,11.162,5.554,119.68,4.43,3.7
UNIP3,,,2025-04-25 18:18:46,50.040000915527344,48.60%,4.91,24.66,10.12,2.02,,19.8,0.08,946.0,27.11,10.26,17.43,14.43,,2.88,0.83,2.48,0.76,152.74,62.84,2.317,733.0,1.914,47.99,5.52,11.51
UNIP6,,,2025-04-25 18:18:58,54.36000061035156,53.46%,4.91,24.66,11.06,2.2,,19.8,0.08,946.0,27.11,10.26,17.43,14.43,,2.88,0.83,2.48,0.76,152.74,62.84,2.317,733.0,1.914,47.99,5.52,11.51
USIM3,,,2025-04-25 18:19:11,5.739999771118164,36.24%,0.12,19.06,49.37,0.3,,0.01,0.0,1.725,6.42,0.01,6.67,0.37,,3.64,1.09,2.09,0.65,49.42,31.82,6.768,814.0,12.647,20.64,0.4,1.93
USIM5,,,2025-04-25 18:19:20,5.730000019073486,39.87%,0.12,19.06,49.88,0.3,,0.01,0.0,1.725,6.42,0.01,6.67,0.37,,3.64,1.09,2.09,0.65,49.42,31.82,6.768,814.0,12.647,20.64,0.4,1.93
TESA3,,,2025-04-25 18:19:36,,0,,,,,,12.18,0.04,53.0,16.71,7.58,3.91,11.97,,0.86,0.03,0.6,0.52,209.32,,892.0,862.0,126.0,,,9.39
VALE3,,,2025-04-25 18:19:49,53.849998474121094,69.65%,6.96,45.55,7.95,1.21,,14.24,0.06,71.984,36.25,14.77,34.94,16.61,,1.03,0.38,0.68,0.42,132.23,109.35,96.012,65.01,2.421,45.39,12.22,26.92
VIVR3,,,2025-04-25 18:20:02,0.9900000095367432,0.00%,1.08,3.71,0.88,0.26,,27.37,0.15,39.0,29.89,35.89,34.49,36.7,,1.71,0.28,1.07,0.4,88.64,7.27,20.0,1.0,49.0,2.94,1.02,34.81
VIVT3,,,2025-04-25 18:20:13,27.149999618530273,82.93%,3.4,42.76,8.03,0.64,,7.96,0.04,22.875,43.86,9.95,40.96,12.11,,0.94,0.28,0.9,0.45,79.0,76.62,20.746,14.055,1.444,34.25,5.32,15.53
VIVT4,,,2025-04-25 18:20:26,,0,,,,,,,,,,,,,,,,,,,,,,,,,
VLID3,,,2025-04-25 18:20:37,24.5,43.78%,4.65,21.93,5.32,1.13,,20.84,0.13,,35.79,17.48,,20.07,,2.88,1.06,2.37,0.74,61.56,35.97,599.0,17.0,1.013,26.53,5.84,22.02
WEGE3,,,2025-04-25 18:20:50,49.88999938964844,52.49%,1.44,5.29,33.75,9.19,,27.32,0.15,8.503,33.73,16.63,22.38,20.82,,1.76,0.48,1.12,0.92,79.41,9.88,3.595,4.401,11.767,9.05,1.83,20.25
BRSR5,,,2025-04-25 18:21:02,15.800000190734863,28.62%,2.24,25.45,7.06,0.62,,8.8,0.01,,35.76,5.32,,6.38,,,,,0.12,,359.31,,,,42.1,,
CESP5,,,2025-04-25 18:21:21,,0,,,,,,13.58,0.07,2.392,30.27,73.33,162.75,112.53,,3.12,2.62,3.12,0.1,82.56,,4.019,2.164,1.502,,,133.96
ELPL3,,,2025-04-25 18:21:37,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SANB4,,,2025-04-25 18:21:47,14.600000381469727,49.38%,1.74,12.02,8.51,1.23,,14.47,0.01,,11.45,6.54,,6.86,,,,,0.15,,180.02,,,,26.58,,
STBP3,,,2025-04-25 18:21:59,13.520000457763672,78.13%,0.86,0.77,15.7,17.61,,112.19,0.13,1.469,54.68,25.56,50.62,35.87,,1.18,0.74,1.15,0.52,737.92,6.41,2.725,1.995,180.0,3.36,1.4,41.59
CCXC3,,,2025-04-25 18:22:14,,0,,,,,,,,,,,,,,,,,,,,,,,,,
CESP3,,,2025-04-25 18:22:33,,0,,,,,,13.58,0.07,2.392,30.27,73.33,162.75,112.53,,3.12,2.62,3.12,0.1,82.56,,4.019,2.164,1.502,,,133.96
CGRA3,,,2025-04-25 18:22:42,26.420000076293945,53.54%,5.02,45.69,5.27,0.58,,10.98,0.08,109.0,52.84,14.36,15.01,16.69,,2.47,0.81,1.91,0.54,42.02,64.88,,,374.0,34.93,3.9,11.16
CLSC4,,,2025-04-25 18:22:52,82.33999633789062,37.11%,18.56,95.18,4.44,0.87,,19.5,0.05,1.567,16.94,6.72,14.7,8.75,,1.28,0.33,1.27,0.82,255.13,338.01,4.203,3.183,848.0,276.34,31.62,11.44
COCE3,,,2025-04-25 18:23:05,,25.19%,5.97,66.02,4.19,0.38,,9.05,0.03,1.879,19.01,5.51,22.26,5.87,,0.54,0.04,0.54,0.59,180.31,185.05,5.447,5.232,2.593,108.43,15.84,14.61
TASA3,,,2025-04-25 18:23:15,8.739999771118164,50.04%,0.6,10.22,14.47,0.86,,5.92,0.03,252.0,34.82,4.58,15.1,4.72,,1.53,0.11,0.76,0.64,103.08,20.76,747.0,457.0,534.0,13.21,1.65,12.49
COGN3,,,2025-04-25 18:23:24,2.5,0.00%,0.47,6.61,5.37,0.38,,7.32,0.04,1.809,66.93,15.52,28.32,10.37,,1.61,0.03,1.46,0.26,78.66,12.9,6.873,5.541,1.746,3.41,0.72,21.16
LCAM3,,,2025-04-25 18:23:39,,0,,,,,,4.9,0.04,2.532,16.38,9.82,29.78,14.2,,7.53,1.06,7.53,0.44,12.41,,630.0,4.442,6.021,,,10.19
RADL3,,,2025-04-25 18:23:52,20.100000381469727,39.92%,0.7,3.74,28.78,5.37,,18.79,0.05,4.203,29.73,3.12,10.82,3.65,,1.38,0.06,0.47,1.75,243.79,12.9,3.293,2.75,3.508,22.63,1.37,6.05
UCAS3,,,2025-04-25 18:24:06,1.5800000429153442,96.39%,0.19,2.91,8.39,0.54,,6.47,0.03,17.0,38.13,5.49,7.86,4.67,,1.43,0.14,1.08,0.62,90.75,5.55,100.0,64.0,32.0,3.43,0.05,1.58
ALUP11,,,2025-04-25 18:24:19,30.059999465942383,--,1.1,8.33,27.2,3.58,,15.86,0.06,3.07,72.64,46.47,76.73,48.51,,2.04,0.26,2.04,0.13,161.77,31.03,12.729,9.185,3.19,4.05,2.93,72.28
ANIM3,,,2025-04-25 18:24:32,3.0399999618530273,204.90%,0.21,5.63,15.08,0.56,,7.35,0.02,1.301,61.86,5.38,34.23,4.89,,2.17,0.1,2.17,0.39,248.49,23.99,5.309,4.057,1.121,9.41,2.03,21.57
BBSE3,,,2025-04-25 18:24:44,42.04999923706055,59.47%,4.35,4.85,9.56,8.59,,89.77,0.4,,,,,,,1.2,0.94,,,122.95,10.81,,,1.627,,4.88,
BSEV3,,,2025-04-25 18:25:00,,0,,,,,,19.25,0.01,473.0,25.99,1.58,4.57,5.33,,0.39,0.09,0.34,0.87,,,7.636,6.655,5.792,,,16.74
CPRE3,,,2025-04-25 18:25:13,,0,,,,,,,,,,,,,,,,,,,,,,,,,
CVCB3,,,2025-04-25 18:25:22,2.299999952316284,0.00%,0.2,1.01,12.0,2.33,,19.44,0.03,313.0,92.54,7.27,22.05,5.87,,0.88,0.16,0.88,0.37,622.43,7.31,542.0,32.0,305.0,2.7,0.17,6.39
LINX3,,,2025-04-25 18:25:39,,0,,,,,,4.81,0.03,209.0,68.7,8.67,23.21,8.78,,2.14,0.08,2.14,0.35,59.41,,361.0,224.0,592.0,,,4.79
SEER3,,,2025-04-25 18:25:52,5.929999828338623,0.00%,0.01,9.39,651.36,0.63,,0.1,0.0,461.0,55.23,0.06,23.29,0.69,,1.35,0.51,1.35,0.57,185.99,26.85,964.0,593.0,255.0,15.39,1.86,12.06
SMLS3,,,2025-04-25 18:26:06,,0,,,,,,23.27,0.06,241.0,92.17,25.92,39.64,59.85,,1.1,0.03,1.1,0.22,302.36,,0.0,65.0,148.0,,,44.82
TUPY3,,,2025-04-25 18:26:18,22.75,329.55%,0.57,24.22,37.9,0.89,,2.36,0.01,946.0,18.06,0.77,8.88,2.43,,2.2,0.7,1.55,0.93,228.94,79.84,4.77,2.394,4.069,73.97,3.88,5.25
SQIA3,,,2025-04-25 18:26:33,,0,,,,,,0.27,0.0,218.0,42.19,0.28,32.55,1.85,,1.43,0.69,1.43,0.41,137.09,,424.0,192.0,93.0,,,7.27
BIOM3,,,2025-04-25 18:26:43,10.140000343322754,0.00%,0.47,2.07,21.45,4.84,,22.55,0.13,52.0,12.51,41.46,35.93,41.01,,2.72,0.87,2.1,0.31,77.29,3.67,121.0,23.0,153.0,1.13,0.5,44.24
KLBN11,,,2025-04-25 18:26:52,18.690000534057617,--,0.3,1.08,63.01,17.34,,23.7,0.03,6.616,37.52,10.42,33.68,11.55,,1.93,0.94,1.48,0.33,587.62,9.61,39.704,32.174,6.655,3.18,0.73,22.89
NUTR3,,,2025-04-25 18:27:02,3.8299999237060547,0.00%,,,,,,22.76,0.1,19.0,18.2,5.13,9.55,6.84,,1.96,0.05,1.24,1.87,137.01,,11.0,9.0,37.0,,,9.13
BAZA3,,,2025-04-25 18:27:12,93.5,30.13%,20.19,116.51,4.65,0.81,,17.33,0.02,,9.79,23.07,,25.01,,,,,0.09,,968.92,,,,87.51,,
HGBS11,,,2025-04-25 18:27:30,197.32000732421875,75.77%,,,,,,,,,,,,,,,,,,,,,,,,,
HGPO11,,,2025-04-25 18:27:43,132.39999389648438,--,,,,,,,,,,,,,,,,,,,,,,,,,
MBRF11,,,2025-04-25 18:27:55,,0,,,,,,,,,,,,,,,,,,,,,,,,,
TCNO3,,,2025-04-25 18:28:13,,0,,,,,,123.36,0.0,,,,,,,0.28,0.0,0.26,0.0,,,33.0,33.0,101.0,,,
ABCP11,,,2025-04-25 18:28:21,77.48999786376953,87.94%,,,,,,,,,,,,,,,,,,,,,,,,,
RBED11,,,2025-04-25 18:28:30,,69.49%,,,,,,,,,,,,,,,,,,,,,,,,,
BBPO11,,,2025-04-25 18:28:41,,0,,,,,,,,,,,,,,,,,,,,,,,,,
BBRC11,,,2025-04-25 18:28:49,104.47000122070312,--,,,,,,,,,,,,,,,,,,,,,,,,,
BBVJ11,,,2025-04-25 18:29:01,,0,,,,,,,,,,,,,,,,,,,,,,,,,
BPFF11,,,2025-04-25 18:29:12,59.5,--,,,,,,,,,,,,,,,,,,,,,,,,,
BRCR11,,,2025-04-25 18:29:21,42.959999084472656,98.19%,,,,,,,,,,,,,,,,,,,,,,,,,
CTXT11,,,2025-04-25 18:29:30,5.849999904632568,--,,,,,,,,,,,,,,,,,,,,,,,,,
CXTL11,,,2025-04-25 18:29:39,229.2100067138672,--,,,,,,,,,,,,,,,,,,,,,,,,,
EURO11,,,2025-04-25 18:29:48,245.52000427246094,52.89%,,,,,,,,,,,,,,,,,,,,,,,,,
RCRB11,,,2025-04-25 18:30:00,130.49000549316406,--,,,,,,,,,,,,,,,,,,,,,,,,,
FIGS11,,,2025-04-25 18:30:10,46.29999923706055,--,,,,,,,,,,,,,,,,,,,,,,,,,
FIXX11,,,2025-04-25 18:30:23,,0,,,,,,,,,,,,,,,,,,,,,,,,,
FLMA11,,,2025-04-25 18:30:34,136.60000610351562,--,,,,,,,,,,,,,,,,,,,,,,,,,
FPAB11,,,2025-04-25 18:30:46,,--,,,,,,,,,,,,,,,,,,,,,,,,,
HMOC11,,,2025-04-25 18:30:58,,0,,,,,,,,,,,,,,,,,,,,,,,,,
HGCR11,,,2025-04-25 18:31:08,96.94999694824219,--,,,,,,,,,,,,,,,,,,,,,,,,,
HGLG11,,,2025-04-25 18:31:20,160.41000366210938,83.49%,,,,,,,,,,,,,,,,,,,,,,,,,
HGRE11,,,2025-04-25 18:31:29,118.98999786376953,610.50%,,,,,,,,,,,,,,,,,,,,,,,,,
JSRE11,,,2025-04-25 18:31:40,63.06999969482422,--,,,,,,,,,,,,,,,,,,,,,,,,,
KNCR11,,,2025-04-25 18:31:49,103.41999816894531,--,,,,,,,,,,,,,,,,,,,,,,,,,
KNRE11,,,2025-04-25 18:32:02,0.3100000023841858,--,,,,,,,,,,,,,,,,,,,,,,,,,
KNRI11,,,2025-04-25 18:32:14,147.14999389648438,--,,,,,,,,,,,,,,,,,,,,,,,,,
MXRF11,,,2025-04-25 18:32:26,9.300000190734863,--,,,,,,,,,,,,,,,,,,,,,,,,,
ONEF11,,,2025-04-25 18:32:36,,0,,,,,,,,,,,,,,,,,,,,,,,,,
PQDP11,,,2025-04-25 18:32:46,2389.989990234375,--,,,,,,,,,,,,,,,,,,,,,,,,,
PRSV11,,,2025-04-25 18:33:02,47.9900016784668,--,,,,,,,,,,,,,,,,,,,,,,,,,
RBBV11,,,2025-04-25 18:33:12,,0,,,,,,,,,,,,,,,,,,,,,,,,,
RBCB11,,,2025-04-25 18:33:23,,0,,,,,,,,,,,,,,,,,,,,,,,,,
RBGS11,,,2025-04-25 18:33:34,,0,,,,,,,,,,,,,,,,,,,,,,,,,
RBRD11,,,2025-04-25 18:33:45,40.540000915527344,--,,,,,,,,,,,,,,,,,,,,,,,,,
RBVO11,,,2025-04-25 18:33:59,,0,,,,,,,,,,,,,,,,,,,,,,,,,
RDES11,,,2025-04-25 18:34:12,,0,,,,,,,,,,,,,,,,,,,,,,,,,
RNDP11,,,2025-04-25 18:34:24,,--,,,,,,,,,,,,,,,,,,,,,,,,,
RNGO11,,,2025-04-25 18:34:35,45.95000076293945,--,,,,,,,,,,,,,,,,,,,,,,,,,
SAAG11,,,2025-04-25 18:34:46,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SDIL11,,,2025-04-25 18:34:57,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SHPH11,,,2025-04-25 18:35:08,915.25,--,,,,,,,,,,,,,,,,,,,,,,,,,
SPTW11,,,2025-04-25 18:35:18,34.04999923706055,--,,,,,,,,,,,,,,,,,,,,,,,,,
TBOF11,,,2025-04-25 18:35:28,,0,,,,,,,,,,,,,,,,,,,,,,,,,
TRXL11,,,2025-04-25 18:35:46,,0,,,,,,,,,,,,,,,,,,,,,,,,,
VLOL11,,,2025-04-25 18:36:03,,0,,,,,,,,,,,,,,,,,,,,,,,,,
VRTA11,,,2025-04-25 18:36:13,82.69999694824219,--,,,,,,,,,,,,,,,,,,,,,,,,,
XPCM11,,,2025-04-25 18:36:23,7.110000133514404,--,,,,,,,,,,,,,,,,,,,,,,,,,
XTED11,,,2025-04-25 18:36:39,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SANB3,,,2025-04-25 18:36:49,13.260000228881836,44.89%,1.74,12.02,7.64,1.11,,14.47,0.01,,11.45,6.54,,6.86,,,,,0.15,,180.02,,,,26.58,,
SEDU3,,,2025-04-25 18:37:04,,0,,,,,,,,,,,,,,,,,,,,,,,,,
FRAS3,,,2025-04-25 18:37:12,28.790000915527344,37.65%,1.36,8.22,21.0,3.48,,16.64,0.08,643.0,33.55,9.45,16.23,13.7,,2.05,0.56,1.35,0.81,116.28,18.03,1.111,252.0,1.578,14.69,1.92,13.09
GEPA4,,,2025-04-25 18:37:24,33.4900016784668,210.40%,0.0,0.0,7.33,1.98,,27.05,0.12,0.0,37.69,35.81,70.08,44.23,,0.53,0.4,0.53,0.34,122.5,0.0,768.0,308.0,545.0,0.0,0.0,47.9
OFSA3,,,2025-04-25 18:37:34,22.889999389648438,36.56%,2.49,14.02,9.08,1.61,,17.76,0.1,224.0,50.52,13.11,21.91,17.28,,3.06,0.8,2.15,0.74,83.06,25.67,359.0,125.0,600.0,19.0,3.46,18.23
RLOG3,,,2025-04-25 18:37:48,,0,,,,,,,,,,,,,,,,,,,,,,,,,
TOYB3,,,2025-04-25 18:38:05,,0,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL34,,,2025-04-25 18:38:19,59.4900016784668,10.75%,,,,,,,,,,,,,,,,,,,,,,,,,
ABTT34,,,2025-04-25 18:38:32,60.65999984741211,20.05%,,,,,,,,,,,,,,,,,,,,,,,,,
AMGN34,,,2025-04-25 18:38:43,57.119998931884766,84.04%,,,,,,,,,,,,,,,,,,,,,,,,,
AMZO34,,,2025-04-25 18:38:55,53.91999816894531,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
